ID,Area,Centre x,Centre y,Radius
390.0,200.0,989.0,161.0,8.06225774829855
391.0,200.0,945.0,243.0,8.06225774829855
395.0,200.0,975.0,145.0,8.06225774829855
396.0,200.0,228.0,394.0,8.06225774829855
401.0,200.0,528.0,939.0,8.06225774829855
402.0,200.0,367.0,572.0,8.06225774829855
416.0,200.0,101.0,391.0,8.06225774829855
419.0,200.0,291.0,5.0,8.06225774829855
426.0,200.0,353.0,599.0,8.06225774829855
427.0,200.0,878.0,908.0,8.06225774829855
430.0,200.0,766.0,303.0,8.06225774829855
431.0,200.0,811.0,779.0,8.06225774829855
432.0,200.0,443.0,960.0,8.06225774829855
433.0,200.0,271.0,703.0,8.06225774829855
436.0,200.0,317.0,153.0,8.06225774829855
438.0,200.0,869.0,820.0,8.06225774829855
440.0,200.0,388.0,79.0,8.06225774829855
444.0,200.0,54.0,696.0,8.06225774829855
446.0,200.0,642.0,854.0,8.06225774829855
448.0,200.0,689.0,892.0,8.06225774829855
453.0,200.0,583.0,573.0,8.06225774829855
454.0,200.0,874.0,264.0,8.06225774829855
458.0,200.0,418.0,678.0,8.06225774829855
461.0,200.0,511.0,276.0,8.06225774829855
466.0,200.0,-1.0,596.0,8.06225774829855
468.0,200.0,164.0,903.0,8.06225774829855
469.0,200.0,518.0,649.0,8.06225774829855
472.0,200.0,352.0,1006.0,8.06225774829855
473.0,200.0,593.0,731.0,8.06225774829855
474.0,200.0,112.0,200.0,8.06225774829855
475.0,200.0,921.0,200.0,8.06225774829855
477.0,200.0,901.0,73.0,8.06225774829855
482.0,200.0,287.0,836.0,8.06225774829855
486.0,200.0,633.0,281.0,8.06225774829855
491.0,200.0,923.0,453.0,8.06225774829855
494.0,200.0,677.0,407.0,8.06225774829855
497.0,200.0,652.0,414.0,8.06225774829855
502.0,400.0,921.0,401.0,11.180339887498949
504.0,600.0,523.0,409.0,13.892443989449804
506.0,400.0,19.0,924.0,11.180339887498949
507.0,400.0,-2.0,143.0,11.180339887498949
508.0,400.0,103.0,472.0,11.180339887498949
